# q0(rad), q1(rad), q2(rad), q3(rad), q4(rad), q5(rad), q6(placeholder)
-0.785300, -1.200000, -1.100000, -1.810000, 1.500000, 0.000000
-1.003119, -1.290485, -1.046837, -1.771085, 1.623894, -0.179274
-1.006075, -1.274283, -1.069857, -1.764397, 1.625573, -0.181711
-1.005899, -1.257018, -1.092977, -1.758534, 1.625473, -0.181565
-1.002388, -1.238890, -1.115817, -1.753667, 1.623479, -0.178671
-0.995349, -1.220110, -1.138006, -1.749965, 1.619480, -0.172871
-0.984613, -1.200901, -1.159187, -1.747589, 1.613378, -0.164028
-0.970045, -1.181501, -1.179021, -1.746694, 1.605093, -0.152037
-0.951560, -1.162164, -1.197183, -1.747428, 1.594573, -0.136830
-0.929145, -1.143162, -1.213371, -1.749921, 1.581810, -0.118402
-0.902888, -1.124786, -1.227309, -1.754283, 1.566855, -0.096820
-0.873001, -1.107346, -1.238752, -1.760586, 1.549834, -0.072250
-0.839856, -1.091168, -1.247497, -1.768847, 1.530973, -0.044982
-0.804008, -1.076595, -1.253392, -1.779003, 1.510608, -0.015443
-0.766217, -1.063969, -1.256348, -1.790884, 1.489197, 0.015776
-0.727446, -1.053629, -1.256352, -1.804191, 1.467313, 0.047919
-0.688831, -1.045883, -1.253478, -1.818479, 1.445623, 0.080077
-0.651623, -1.040992, -1.247887, -1.833172, 1.424844, 0.111229
-0.617089, -1.039142, -1.239816, -1.847599, 1.405684, 0.140312
-0.586395, -1.040424, -1.229556, -1.861069, 1.388770, 0.166317
-0.560492, -1.044820, -1.217417, -1.872962, 1.374590, 0.188388
-0.540025, -1.052204, -1.203692, -1.882814, 1.363452, 0.205914
-0.525308, -1.062358, -1.188634, -1.890373, 1.355481, 0.218567
-0.516334, -1.074990, -1.172439, -1.895607, 1.350637, 0.226304
-0.512847, -1.089763, -1.155260, -1.898673, 1.348758, 0.229315
-0.514416, -1.106319, -1.137218, -1.899861, 1.349603, 0.227960
-0.520516, -1.124293, -1.118433, -1.899526, 1.352893, 0.222696
-0.530588, -1.143330, -1.099032, -1.898039, 1.358336, 0.214023
-0.544076, -1.163085, -1.079173, -1.895741, 1.365652, 0.202438
-0.560461, -1.183233, -1.059048, -1.892922, 1.374573, 0.188414
-0.579264, -1.203464, -1.038886, -1.889807, 1.384857, 0.172381
-0.600050, -1.223484, -1.018955, -1.886555, 1.396281, 0.154729
-0.622430, -1.243012, -0.999552, -1.883259, 1.408639, 0.135803
-0.646054, -1.261782, -0.981002, -1.879955, 1.421746, 0.115907
-0.670605, -1.279541, -0.963648, -1.876632, 1.435428, 0.095315
-0.695792, -1.296051, -0.947837, -1.873239, 1.449524, 0.074268
-0.721352, -1.311087, -0.933917, -1.869699, 1.463882, 0.052983
-0.747038, -1.324446, -0.922216, -1.865920, 1.478359, 0.031660
-0.772618, -1.335944, -0.913031, -1.861804, 1.492818, 0.010481
-0.797874, -1.345425, -0.906618, -1.857260, 1.507128, -0.010382
-0.822597, -1.352763, -0.903172, -1.852214, 1.521163, -0.030768
-0.846584, -1.357866, -0.902823, -1.846614, 1.534800, -0.050520
-0.869638, -1.360679, -0.905625, -1.840440, 1.547919, -0.069485
-0.891565, -1.361184, -0.911554, -1.833706, 1.560405, -0.087512
-0.912172, -1.359400, -0.920510, -1.826458, 1.572143, -0.104451
-0.931269, -1.355379, -0.932318, -1.818778, 1.583020, -0.120147
-0.948662, -1.349204, -0.946744, -1.810773, 1.592924, -0.134447
-0.964155, -1.340983, -0.963498, -1.802578, 1.601742, -0.147190
-0.977551, -1.330847, -0.982251, -1.794343, 1.609363, -0.158214
-0.988648, -1.318943, -1.002645, -1.786234, 1.615672, -0.167351
-0.997240, -1.305432, -1.024303, -1.778423, 1.620555, -0.174429
